"-------------------------------------------------------------------------------------------"
" Monthly atmospheric CO2 concentrations (ppm) derived from flask air samples               "
" Kermadec Island: Latitude 29.2S Longitude 177.9W Elevation 2m                             "
"                                                                                           "
" Source: R. F. Keeling, S. C. Piper, A. F. Bollenbacher and S. J. Walker                   "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu) and            "
" and Dr. Stephen Piper (scpiper@popmail.ucsd.edu), Scripps CO2 Program.                    "
"                                                                                           "
" Flask data in this file through 03-Nov-2016 last updated 15-Dec-2017                      "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats. Column 5 below gives monthly CO2 concentrations in micro-mol CO2 per mole (ppm)  "
" reported on the 2008A SIO manometric mole fraction scale.  This is the standard           "
" version of the data most often sought.  The monthly values have been adjusted             "
" to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  "
" adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           "
" subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      "
" smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic "
" functions with linear gain.  Column 8 is the same smoothed version with the seasonal      "
" cycle removed.  Column 9 is identical to Column 5 except that the missing values from     "
" Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  "
" except missing values have been filled with values from Column 8.  Missing values are     "
" denoted by -99.99                                                                         "
"                                                                                           "
" CO2 concentrations are measured on the '08A' calibration scale                            "
"                                                                                           "
  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          ,   [ppm],    [ppm] ,      [ppm],    [ppm],       [ppm],    [ppm]
1982, 01,   29966, 1982.0411,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1982, 02,   29997, 1982.1260,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1982, 03,   30025, 1982.2027,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1982, 04,   30056, 1982.2877,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1982, 05,   30086, 1982.3699,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1982, 06,   30117, 1982.4548,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1982, 07,   30147, 1982.5370,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1982, 08,   30178, 1982.6219,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1982, 09,   30209, 1982.7068,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1982, 10,   30239, 1982.7890,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1982, 11,   30270, 1982.8740,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1982, 12,   30300, 1982.9562,   340.32,   339.90,     340.51,   340.09,     340.32,   339.90
1983, 01,   30331, 1983.0411,   -99.99,   -99.99,     340.90,   340.32,     340.90,   340.32
1983, 02,   30362, 1983.1260,   -99.99,   -99.99,     340.98,   340.54,     340.98,   340.54
1983, 03,   30390, 1983.2027,   -99.99,   -99.99,     340.85,   340.74,     340.85,   340.74
1983, 04,   30421, 1983.2877,   341.07,   341.31,     340.70,   340.94,     341.07,   341.31
1983, 05,   30451, 1983.3699,   341.21,   341.60,     340.74,   341.13,     341.21,   341.60
1983, 06,   30482, 1983.4548,   -99.99,   -99.99,     340.97,   341.31,     340.97,   341.31
1983, 07,   30512, 1983.5370,   341.56,   341.78,     341.25,   341.46,     341.56,   341.78
1983, 08,   30543, 1983.6219,   -99.99,   -99.99,     341.44,   341.61,     341.44,   341.61
1983, 09,   30574, 1983.7068,   -99.99,   -99.99,     341.56,   341.75,     341.56,   341.75
1983, 10,   30604, 1983.7890,   341.69,   341.81,     341.75,   341.87,     341.69,   341.81
1983, 11,   30635, 1983.8740,   342.22,   342.10,     342.12,   341.99,     342.22,   342.10
1983, 12,   30665, 1983.9562,   342.13,   341.71,     342.53,   342.11,     342.13,   341.71
1984, 01,   30696, 1984.0410,   -99.99,   -99.99,     342.81,   342.23,     342.81,   342.23
