"-------------------------------------------------------------------------------------------"
" Monthly atmospheric CO2 concentrations (ppm) derived from flask air samples               "
" Cape Kumukahi, Hawaii: Latitude 19.5N Longitude 154.8W Elevation 3m                       "
"                                                                                           "
" Source: R. F. Keeling, S. C. Piper, A. F. Bollenbacher and S. J. Walker                   "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu) and            "
" and Dr. Stephen Piper (scpiper@popmail.ucsd.edu), Scripps CO2 Program.                    "
"                                                                                           "
" Flask data in this file through 20-Nov-2017 last updated 15-Dec-2017                      "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats. Column 5 below gives monthly CO2 concentrations in micro-mol CO2 per mole (ppm)  "
" reported on the 2008A SIO manometric mole fraction scale.  This is the standard           "
" version of the data most often sought.  The monthly values have been adjusted             "
" to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  "
" adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           "
" subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      "
" smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic "
" functions with linear gain.  Column 8 is the same smoothed version with the seasonal      "
" cycle removed.  Column 9 is identical to Column 5 except that the missing values from     "
" Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  "
" except missing values have been filled with values from Column 8.  Missing values are     "
" denoted by -99.99                                                                         "
"                                                                                           "
" CO2 concentrations are measured on the '08A' calibration scale                            "
"                                                                                           "
  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          ,   [ppm],    [ppm] ,      [ppm],    [ppm],       [ppm],    [ppm]
1979, 01,   28870, 1979.0411,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1979, 02,   28901, 1979.1260,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1979, 03,   28929, 1979.2027,   338.64,   336.42,     338.65,   336.42,     338.64,   336.42
1979, 04,   28960, 1979.2877,   339.87,   336.90,     340.32,   337.34,     339.87,   336.90
1979, 05,   28990, 1979.3699,   343.27,   339.76,     341.66,   338.15,     343.27,   339.76
1979, 06,   29021, 1979.4548,   339.99,   337.75,     340.87,   338.66,     339.99,   337.75
1979, 07,   29051, 1979.5370,   -99.99,   -99.99,     338.19,   338.84,     338.19,   338.84
1979, 08,   29082, 1979.6219,   336.77,   340.09,     335.43,   338.78,     336.77,   340.09
1979, 09,   29113, 1979.7068,   333.59,   337.92,     334.14,   338.48,     333.59,   337.92
1979, 10,   29143, 1979.7890,   334.78,   338.07,     334.98,   338.23,     334.78,   338.07
1979, 11,   29174, 1979.8740,   -99.99,   -99.99,     336.78,   338.15,     336.78,   338.15
1979, 12,   29204, 1979.9562,   337.92,   338.13,     338.03,   338.24,     337.92,   338.13
1980, 01,   29235, 1980.0410,   -99.99,   -99.99,     339.16,   338.43,     339.16,   338.43
1980, 02,   29266, 1980.1257,   340.70,   339.03,     340.33,   338.65,     340.70,   339.03
1980, 03,   29295, 1980.2049,   340.65,   338.41,     341.11,   338.86,     340.65,   338.41
1980, 04,   29326, 1980.2896,   342.80,   339.80,     342.15,   339.13,     342.80,   339.80
1980, 05,   29356, 1980.3716,   343.35,   339.83,     342.78,   339.26,     343.35,   339.83
1980, 06,   29387, 1980.4563,   341.59,   339.37,     341.34,   339.17,     341.59,   339.37
1980, 07,   29417, 1980.5383,   338.02,   338.67,     338.34,   339.04,     338.02,   338.67
1980, 08,   29448, 1980.6230,   336.63,   339.99,     335.76,   339.15,     336.63,   339.99
1980, 09,   29479, 1980.7077,   335.10,   339.45,     335.11,   339.46,     335.10,   339.45
1980, 10,   29509, 1980.7896,   336.27,   339.55,     336.48,   339.74,     336.27,   339.55
1980, 11,   29540, 1980.8743,   338.96,   340.35,     338.50,   339.87,     338.96,   340.35
1980, 12,   29570, 1980.9563,   339.03,   339.24,     339.71,   339.91,     339.03,   339.24
1981, 01,   29601, 1981.0411,   341.04,   340.32,     340.73,   339.99,     341.04,   340.32
1981, 02,   29632, 1981.1260,   340.99,   339.32,     341.73,   340.04,     340.99,   339.32
1981, 03,   29660, 1981.2027,   342.83,   340.59,     342.30,   340.06,     342.83,   340.59
